NAME,MEDIAN_INCOME,BACHELORS_PERCENT,POPULATION,UNEMPLOYMENT_RATE,ZIP_CODE
ZCTA5 58104,85919.0,9913.0,46165.0,679.0,58104
ZCTA5 58105,-666666666.0,15.0,2533.0,156.0,58105
ZCTA5 58201,65498.0,7012.0,42353.0,798.0,58201
ZCTA5 58202,28777.0,13.0,2976.0,209.0,58202
ZCTA5 58203,54692.0,1935.0,16280.0,281.0,58203
ZCTA5 58204,70500.0,158.0,1860.0,9.0,58204
ZCTA5 58205,-666666666.0,0.0,253.0,0.0,58205
ZCTA5 58210,55000.0,21.0,269.0,5.0,58210
ZCTA5 58212,58250.0,74.0,370.0,1.0,58212
ZCTA5 58214,104500.0,38.0,418.0,0.0,58214
ZCTA5 58216,151563.0,24.0,168.0,1.0,58216
ZCTA5 58218,66625.0,69.0,775.0,3.0,58218
ZCTA5 58219,-666666666.0,3.0,69.0,0.0,58219
ZCTA5 58220,60250.0,359.0,2204.0,85.0,58220
ZCTA5 58222,42500.0,33.0,209.0,1.0,58222
ZCTA5 58223,64821.0,17.0,138.0,0.0,58223
ZCTA5 58224,122000.0,17.0,55.0,0.0,58224
ZCTA5 58225,69632.0,132.0,1081.0,14.0,58225
ZCTA5 58227,80000.0,85.0,535.0,0.0,58227
ZCTA5 58228,63854.0,100.0,716.0,13.0,58228
ZCTA5 58229,40000.0,14.0,62.0,1.0,58229
ZCTA5 58230,87794.0,88.0,568.0,6.0,58230
ZCTA5 58231,78375.0,31.0,459.0,1.0,58231
ZCTA5 58233,91029.0,41.0,277.0,0.0,58233
ZCTA5 58235,61875.0,71.0,577.0,9.0,58235
ZCTA5 58236,250001.0,4.0,42.0,2.0,58236
ZCTA5 58237,66050.0,383.0,5156.0,72.0,58237
ZCTA5 58238,100417.0,14.0,104.0,0.0,58238
ZCTA5 58239,-666666666.0,6.0,20.0,0.0,58239
ZCTA5 58240,72917.0,190.0,1171.0,9.0,58240
ZCTA5 58241,76875.0,24.0,218.0,0.0,58241
ZCTA5 58243,59519.0,49.0,546.0,8.0,58243
ZCTA5 58244,85313.0,12.0,43.0,5.0,58244
ZCTA5 58249,59211.0,347.0,2224.0,5.0,58249
ZCTA5 58250,80000.0,6.0,210.0,0.0,58250
ZCTA5 58251,85938.0,264.0,1941.0,26.0,58251
ZCTA5 58254,81607.0,86.0,516.0,0.0,58254
ZCTA5 58255,-666666666.0,0.0,0.0,0.0,58255
ZCTA5 58256,88000.0,101.0,824.0,11.0,58256
ZCTA5 58257,78365.0,295.0,2340.0,41.0,58257
ZCTA5 58258,53750.0,21.0,263.0,4.0,58258
ZCTA5 58259,59583.0,58.0,470.0,6.0,58259
ZCTA5 58260,62857.0,21.0,227.0,8.0,58260
ZCTA5 58261,65833.0,90.0,1295.0,25.0,58261
ZCTA5 58262,-666666666.0,7.0,116.0,2.0,58262
ZCTA5 58265,82639.0,27.0,561.0,8.0,58265
ZCTA5 58266,86625.0,34.0,157.0,0.0,58266
ZCTA5 58267,86154.0,245.0,1426.0,4.0,58267
ZCTA5 58269,36406.0,15.0,219.0,1.0,58269
ZCTA5 58270,71458.0,233.0,1905.0,7.0,58270
ZCTA5 58271,86364.0,78.0,590.0,13.0,58271
ZCTA5 58272,73750.0,48.0,229.0,0.0,58272
ZCTA5 58273,54583.0,16.0,154.0,1.0,58273
ZCTA5 58274,81500.0,190.0,925.0,10.0,58274
ZCTA5 58275,87083.0,111.0,796.0,13.0,58275
ZCTA5 58276,80500.0,62.0,434.0,0.0,58276
ZCTA5 58277,82125.0,43.0,151.0,0.0,58277
ZCTA5 58278,94125.0,338.0,1882.0,19.0,58278
ZCTA5 58281,117708.0,13.0,58.0,0.0,58281
ZCTA5 58282,44375.0,76.0,1254.0,16.0,58282
ZCTA5 58301,58272.0,1355.0,10190.0,40.0,58301
ZCTA5 58310,-666666666.0,5.0,10.0,0.0,58310
ZCTA5 58311,113750.0,11.0,69.0,0.0,58311
ZCTA5 58313,-666666666.0,7.0,49.0,5.0,58313
ZCTA5 58316,54722.0,265.0,5920.0,156.0,58316
ZCTA5 58317,-666666666.0,1.0,188.0,3.0,58317
ZCTA5 58318,79830.0,530.0,3874.0,84.0,58318
ZCTA5 58321,109375.0,9.0,99.0,0.0,58321
ZCTA5 58323,172500.0,9.0,80.0,0.0,58323
ZCTA5 58324,56875.0,151.0,1388.0,14.0,58324
ZCTA5 58325,-666666666.0,21.0,64.0,0.0,58325
ZCTA5 58327,113438.0,26.0,354.0,2.0,58327
ZCTA5 58329,48610.0,230.0,2940.0,50.0,58329
ZCTA5 58330,65908.0,44.0,514.0,1.0,58330
ZCTA5 58331,77917.0,22.0,172.0,0.0,58331
ZCTA5 58332,62875.0,33.0,227.0,14.0,58332
ZCTA5 58335,25313.0,3.0,1256.0,10.0,58335
ZCTA5 58338,59375.0,7.0,104.0,0.0,58338
ZCTA5 58339,33438.0,0.0,23.0,0.0,58339
ZCTA5 58341,49554.0,263.0,2526.0,17.0,58341
ZCTA5 58343,92813.0,4.0,55.0,1.0,58343
ZCTA5 58344,60474.0,107.0,1012.0,8.0,58344
ZCTA5 58345,79167.0,20.0,157.0,0.0,58345
ZCTA5 58346,62813.0,94.0,546.0,6.0,58346
ZCTA5 58348,56563.0,68.0,727.0,6.0,58348
ZCTA5 58351,78750.0,65.0,345.0,3.0,58351
ZCTA5 58352,72589.0,80.0,480.0,1.0,58352
ZCTA5 58353,123000.0,3.0,92.0,0.0,58353
ZCTA5 58355,74000.0,9.0,49.0,0.0,58355
ZCTA5 58356,48512.0,252.0,1711.0,24.0,58356
ZCTA5 58357,75195.0,28.0,557.0,0.0,58357
ZCTA5 58361,122500.0,75.0,264.0,2.0,58361
ZCTA5 58362,-666666666.0,11.0,20.0,0.0,58362
ZCTA5 58363,89750.0,14.0,74.0,0.0,58363
ZCTA5 58365,54464.0,23.0,167.0,0.0,58365
ZCTA5 58366,64500.0,132.0,873.0,13.0,58366
ZCTA5 58367,56667.0,108.0,1519.0,64.0,58367
ZCTA5 58368,57055.0,531.0,3408.0,13.0,58368
ZCTA5 58369,80750.0,84.0,1011.0,25.0,58369
ZCTA5 58370,43438.0,53.0,1255.0,4.0,58370
ZCTA5 58372,66875.0,8.0,115.0,0.0,58372
ZCTA5 58374,63750.0,84.0,534.0,5.0,58374
ZCTA5 58377,103750.0,32.0,221.0,1.0,58377
ZCTA5 58379,40156.0,4.0,286.0,0.0,58379
ZCTA5 58380,68125.0,55.0,431.0,0.0,58380
ZCTA5 58381,108000.0,81.0,440.0,0.0,58381
ZCTA5 58382,88676.0,9.0,116.0,1.0,58382
ZCTA5 58384,89167.0,54.0,258.0,0.0,58384
ZCTA5 58385,101875.0,12.0,196.0,1.0,58385
ZCTA5 58386,126250.0,9.0,62.0,0.0,58386
ZCTA5 58401,57278.0,2106.0,17410.0,486.0,58401
ZCTA5 58402,-666666666.0,4.0,114.0,1.0,58402
ZCTA5 58405,-666666666.0,0.0,680.0,21.0,58405
ZCTA5 58413,63167.0,107.0,992.0,0.0,58413
ZCTA5 58415,-666666666.0,34.0,211.0,0.0,58415
ZCTA5 58416,57500.0,41.0,404.0,4.0,58416
ZCTA5 58418,58068.0,98.0,415.0,0.0,58418
ZCTA5 58420,105000.0,42.0,358.0,0.0,58420
ZCTA5 58421,80461.0,421.0,2981.0,0.0,58421
ZCTA5 58422,137500.0,41.0,202.0,0.0,58422
ZCTA5 58423,40833.0,22.0,60.0,0.0,58423
ZCTA5 58424,75625.0,76.0,445.0,2.0,58424
